name,code,category,brand,model,serial,condition,quantity,ownership,location,warehouse,qr,description,notes,purchasePrice,replacementValue,currentBookValue
Tripode C-Stand GVM C330 Turtle-Base & Grip Arm Kit (10.5'),R-485,RIG,,,,Good,2,owned,,,1000295,Tripode C-Stand GVM C330 Turtle-Base & Grip Arm Kit (10.5'),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 485; Carpeta Rentman: Gripería/Tripodes; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Extension Grip Arm Impact 40"" (Black)",R-488,RIG,,,,Good,1,owned,,,1000296,"Extension Grip Arm Impact 40"" (Black)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 488; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Tripode Baby Stand Avenger w/ Leveling Leg (Chrome-Plated, 3.3')",R-489,RIG,,,,Good,2,owned,,,1000297,"Tripode Baby Stand Avenger w/ Leveling Leg (Chrome-Plated, 3.3')",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 489; Carpeta Rentman: Gripería/Tripodes; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Barra Baby Triple Header Avenger F900 (Chrome-Plated),R-490,RIG,,,,Good,3,owned,,,1000298,Barra Baby Triple Header Avenger F900 (Chrome-Plated),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 490; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Sliding Arm Support Impact w/ Hand Grip,R-492,RIG,,,,Good,1,owned,,,1000300,Sliding Arm Support Impact w/ Hand Grip,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 492; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Grip Head Impact 2.5"" (Chrome)",R-493,RIG,,,,Good,4,owned,,2D,1000301,"Grip Head Impact 2.5"" (Chrome)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 493; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Threaded Adapter Impact Rapid Baby to 3/8"" Male",R-494,RIG,,,,Good,11,owned,,6B,1000302,"Threaded Adapter Impact Rapid Baby to 3/8"" Male",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 494; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Case Impact Rolling for Three 52"" C-Stands",R-495,CAS,,,,Good,1,owned,,,1000303,"Case Impact Rolling for Three 52"" C-Stands",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 495; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Clamp Impact w/ 5/8"" Snap-In Pin",R-496,RIG,,,,Good,3,owned,,,1000304,"Clamp Impact w/ 5/8"" Snap-In Pin",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 496; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Snap-In Pin for Super Clamps Impact 5/8"" (Black)",R-497,RIG,,,,Good,1,owned,,,1000305,"Snap-In Pin for Super Clamps Impact 5/8"" (Black)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 497; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
