Número de Serie (Número de serie),ID (Número de serie),Nombre (en la base de datos),Cantidad actual,Ubicado en almacén,Tiene accesorios,Códigos QR,Estructura de la carpeta (Carpeta),Tipo de articulo (Carpeta),Código,Nombre (en la base de datos) 2,Tipo (posición/case/set),Nota externa
,,Tripode C-Stand GVM C330 Turtle-Base & Grip Arm Kit (10.5'),2,,0,1000295,Gripería/Tripodes,Equipos,485,Tripode C-Stand GVM C330 Turtle-Base & Grip Arm Kit (10.5'),Articulo,
,,"Extension Grip Arm Impact 40"" (Black)",1,,0,1000296,Gripería/Accesorios Gripería,Equipos,488,"Extension Grip Arm Impact 40"" (Black)",Articulo,
,,"Tripode Baby Stand Avenger w/ Leveling Leg (Chrome-Plated, 3.3')",2,,0,1000297,Gripería/Tripodes,Equipos,489,"Tripode Baby Stand Avenger w/ Leveling Leg (Chrome-Plated, 3.3')",Articulo,
,,Barra Baby Triple Header Avenger F900 (Chrome-Plated),3,,0,1000298,Gripería/Accesorios Gripería,Equipos,490,Barra Baby Triple Header Avenger F900 (Chrome-Plated),Articulo,
,,Sliding Arm Support Impact w/ Hand Grip,1,,0,1000300,Gripería/Accesorios Gripería,Equipos,492,Sliding Arm Support Impact w/ Hand Grip,Articulo,
,,"Grip Head Impact 2.5"" (Chrome)",4,2D,0,1000301,Gripería/Accesorios Gripería,Equipos,493,"Grip Head Impact 2.5"" (Chrome)",Articulo,
,,"Threaded Adapter Impact Rapid Baby to 3/8"" Male",11,6B,0,1000302,Gripería/Accesorios Gripería,Equipos,494,"Threaded Adapter Impact Rapid Baby to 3/8"" Male",Articulo,
,,"Case Impact Rolling for Three 52"" C-Stands",1,,0,1000303,Maletas/Cases/Bultos/Cases,Equipos,495,"Case Impact Rolling for Three 52"" C-Stands",Articulo,
,,"Clamp Impact w/ 5/8"" Snap-In Pin",3,,0,1000304,Gripería/Accesorios Gripería,Equipos,496,"Clamp Impact w/ 5/8"" Snap-In Pin",Articulo,
,,"Snap-In Pin for Super Clamps Impact 5/8"" (Black)",1,,0,1000305,Gripería/Accesorios Gripería,Equipos,497,"Snap-In Pin for Super Clamps Impact 5/8"" (Black)",Articulo,
